Gene_ID,B16_antiXBH25_08,B16_antiXBH25_17,B16_antiXBH25_19,B16_ctrl_10,B16_ctrl_11,B16_ctrl_22,CT26_antiXBH25_03,CT26_antiXBH25_21,CT26_antiXBH25_46,CT26_ctrl_04,CT26_ctrl_12,CT26_ctrl_27,CT26_ctrl_34,CT26_ctrl_39,CT26_ctrl_41,LLC_antiXBH25_35,LLC_antiXBH25_43,LLC_antiXBH25_54,LLC_ctrl_29,LLC_ctrl_39,LLC_ctrl_42,EMT6_antiXBH25_4,EMT6_antiXBH25_5,EMT6_antiXBH25_6,EMT6_isotype-ctrl_1,EMT6_isotype-ctrl_3,EMT6_isotype-ctrl_7
Gzmg,0.0,0.0,0.0,0.09,0.0,0.0,239.46,73.76,499.96,24.39,110.61,174.12,57.85,309.38,404.93,10.95,1.05,0.14,1.12,7.08,1.63,69.56,45.53,20.48,4.09,15.52,47.3
Mir1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tubb4b,320.43,274.16,267.45,242.99,309.57,304.27,205.96,232.72,270.28,229.14,231.27,175.98,177.72,226.94,240.85,197.58,167.6,206.29,228.67,222.78,226.9,203.04,211.7,199.89,177.59,197.16,215.94
Mir6360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plekha2,26.49,25.03,20.52,24.05,20.79,21.24,26.63,31.34,35.4,29.73,24.56,32.15,21.6,21.9,27.16,36.83,31.21,37.59,39.67,34.62,38.11,76.52,82.56,84.38,83.21,87.71,70.28
Cldn17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceacam19,0.0,0.07,0.11,0.0,0.0,0.02,0.0,0.09,0.03,0.12,0.0,0.03,0.05,0.0,0.19,0.37,0.32,0.17,0.16,0.17,0.23,0.27,0.14,0.15,0.12,0.0,0.24
Sra1,151.72,129.14,138.33,102.72,213.55,130.24,87.03,95.2,105.8,62.97,84.56,74.71,48.38,58.83,118.61,47.96,39.31,55.0,52.33,72.32,55.27,113.62,117.21,129.7,118.14,111.72,115.25
Gm24179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ighv5-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
